Hydrocarbon,Ti (K),equivalent ratio,Pressure (atm),LBV (cm/s),,
Alkane+air,300,0.6,1,10.32,,
Alkane+air,300,0.68,1,19.95,,
Alkane+air,300,0.69,1,21.168,,
Alkane+air,300,0.7,1,18.981,,
Alkane+air,300,0.71,1,23.58,,
Alkane+air,300,0.74,1,24.762,,
Alkane+air,300,0.75,1,26.347,,
Alkane+air,300,0.78,1,26.445,,
Alkane+air,300,0.79,1,28.297,,
Alkane+air,300,0.8,1,26.752,,
Alkane+air,300,0.82,1,31.64,,
Alkane+air,300,0.83,1,27.87,,
Alkane+air,300,0.84,1,34.32,,
Alkane+air,300,0.85,1,33.61,,
Alkane+air,300,0.87,1,33.24,,
Alkane+air,300,0.88,1,33.16,,
Alkane+air,300,0.89,1,34.935,,
Alkane+air,300,0.9,1,32.27,,
Alkane+air,300,0.92,1,32.53,,
Alkane+air,300,0.95,1,38.52,,
Alkane+air,300,0.96,1,38.06,,
Alkane+air,300,0.97,1,36.987,,
Alkane+air,300,0.98,1,37.74,,
Alkane+air,300,0.99,1,36.81,,
Alkane+air,300,1,1,35.818,,
Alkane+air,300,1.02,1,37.588,,
Alkane+air,300,1.05,1,40.48,,
Alkane+air,300,1.06,1,38.285,,
Alkane+air,300,1.07,1,38.136,,
Alkane+air,300,1.08,1,41.75,,
Alkane+air,300,1.09,1,38.62,,
Alkane+air,300,1.1,1,36.42,,
Alkane+air,300,1.11,1,36.073,,
Alkane+air,300,1.15,1,39.098,,
Alkane+air,300,1.16,1,35.632,,
Alkane+air,300,1.19,1,36.81,,
Alkane+air,300,1.2,1,33.611,,
Alkane+air,300,1.21,1,34.63,,
Alkane+air,300,1.23,1,34.12,,
Alkane+air,300,1.24,1,34.39,,
Alkane+air,300,1.25,1,31.863,,
Alkane+air,300,1.26,1,31.16,,
Alkane+air,300,1.29,1,31.33,,
Alkane+air,300,1.3,1,26.746,,
Alkane+air,300,1.35,1,20.3,,
Alkane+air,300,1.4,1,14.92,,
Alkane+air,360,0.7,1,42.2,,
Alkane+air,360,0.8,1,44.775,,
Alkane+air,360,1,1,47.35,,
Alkane+air,369,0.7,1,40.5,,
Alkane+air,369,1,1,48.7,,
Alkane+air,370,0.6,1,18.64,,
Alkane+air,370,0.7,1,29.739,,
Alkane+air,370,0.79,1,42.66,,
Alkane+air,370,0.8,1,39.307,,
Alkane+air,370,0.88,1,50.223,,
Alkane+air,370,0.9,1,46.387,,
Alkane+air,370,0.97,1,60.93,,
Alkane+air,370,0.98,1,55.89,,
Alkane+air,370,1,1,51.822,,
Alkane+air,370,1.07,1,58.033,,
Alkane+air,370,1.1,1,52.622,,
Alkane+air,370,1.16,1,56.694,,
Alkane+air,370,1.2,1,48.225,,
Alkane+air,370,1.25,1,48.885,,
Alkane+air,370,1.3,1,39.218,,
Alkane+air,370,1.4,1,17.93,,
Alkane+air,372,1,1,57.65,,
Alkane+air,375,0.7,1,42.4,,
Alkane+air,375,1,1,61,,
Alkane+air,378,1,1,56.8,,
Alkane+air,381,1,1,50.5,,
Alkane+air,387,1,1,57.4,,
Alkane+air,390,0.7,1,47.3,,
Alkane+air,390,0.8,1,55.767,,
Alkane+air,390,1,1,54.575,,
Alkane+air,393,1,1,56.9,,
Alkane+air,399,0.7,1,45.9,,
Alkane+air,399,0.8,1,40.8,,
Alkane+air,399,1,1,63.7,,
Alkane+air,402,0.7,1,44.95,,
Alkane+air,402,1,1,54.3,,
Alkane+air,405,0.7,1,45.15,,
Alkane+air,405,1,1,63,,
Alkane+air,408,1,1,63.7,,
Alkane+air,411,1,1,70.2,,
Alkane+air,414,1,1,65.9,,
Alkane+air,417,1,1,67.9,,
Alkane+air,420,0.5,1,25.25,,
Alkane+air,420,0.61,1,46.14,,
Alkane+air,420,0.7,1,46.975,,
Alkane+air,420,0.72,1,65.06,,
Alkane+air,420,0.8,1,63.133,,
Alkane+air,420,0.83,1,74.544,,
Alkane+air,420,0.94,1,81.887,,
Alkane+air,420,0.95,1,61.75,,
Alkane+air,420,1,1,61.845,,
Alkane+air,420,1.05,1,81.881,,
Alkane+air,420,1.16,1,76.142,,
Alkane+air,420,1.17,1,60.675,,
Alkane+air,420,1.27,1,73.375,,
Alkane+air,420,1.28,1,60.71,,
Alkane+air,420,1.39,1,33.67,,
Alkane+air,423,0.7,1,42.31,,
Alkane+air,423,0.79,1,53.29,,
Alkane+air,423,0.8,1,59.9,,
Alkane+air,423,0.88,1,63.81,,
Alkane+air,423,0.98,1,74.73,,
Alkane+air,423,1,1,59,,
Alkane+air,423,1.07,1,76.5,,
Alkane+air,423,1.1,1,77.6,,
Alkane+air,423,1.16,1,76.01,,
Alkane+air,423,1.2,1,72.3,,
Alkane+air,423,1.25,1,69.22,,
Alkane+air,426,1,1,64.9,,
Alkane+air,429,0.7,1,52.8,,
Alkane+air,429,1,1,69,,
Alkane+air,432,0.7,1,50.9,,
Alkane+air,435,0.7,1,52.9,,
Alkane+air,435,1,1,76.45,,
Alkane+air,438,0.8,1,50.6,,
Alkane+air,438,1,1,80.1,,
Alkane+air,441,1,1,77.1,,
Alkane+air,444,0.7,1,59.6,,
Alkane+air,444,0.8,1,55.2,,
Alkane+air,444,1,1,70.05,,
Alkane+air,447,0.8,1,54.2,,
Alkane+air,447,1,1,69.85,,
Alkane+air,450,0.7,1,53.575,,
Alkane+air,450,0.8,1,66.6,,
Alkane+air,450,1,1,70.954,,
Alkane+air,453,0.7,1,63,,
Alkane+air,453,0.8,1,55.8,,
Alkane+air,453,1,1,71.7,,
Alkane+air,456,0.7,1,59.1,,
Alkane+air,456,0.8,1,55.9,,
Alkane+air,456,1,1,81.8,,
Alkane+air,459,0.8,1,55.7,,
Alkane+air,459,1,1,76.3,,
Alkane+air,462,0.7,1,57.333,,
Alkane+air,465,1,1,86.1,,
